"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","pbach","TimeFrame","GeoVintage","Source","Location"
"Census Tract","06067000100","CA","06067000100","=""06067000100""","34.14","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067000200","CA","06067000200","=""06067000200""","33.60","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067000300","CA","06067000300","=""06067000300""","27.90","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067000400","CA","06067000400","=""06067000400""","40.04","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067000501","CA","06067000501","=""06067000501""","37.99","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067000502","CA","06067000502","=""06067000502""","31.06","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067000600","CA","06067000600","=""06067000600""","22.17","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067000700","CA","06067000700","=""06067000700""","7.83","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067000800","CA","06067000800","=""06067000800""","35.50","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067001102","CA","06067001102","=""06067001102""","36.14","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067001103","CA","06067001103","=""06067001103""","14.66","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067001201","CA","06067001201","=""06067001201""","44.61","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067001202","CA","06067001202","=""06067001202""","40.99","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067001300","CA","06067001300","=""06067001300""","39.91","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067001400","CA","06067001400","=""06067001400""","43.89","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067001500","CA","06067001500","=""06067001500""","37.42","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067001601","CA","06067001601","=""06067001601""","44.14","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067001602","CA","06067001602","=""06067001602""","36.60","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067001701","CA","06067001701","=""06067001701""","29.36","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067001702","CA","06067001702","=""06067001702""","39.33","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067001800","CA","06067001800","=""06067001800""","28.84","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067001900","CA","06067001900","=""06067001900""","29.61","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067002000","CA","06067002000","=""06067002000""","30.64","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067002100","CA","06067002100","=""06067002100""","30.78","2018-2022","2022","Census","Sacramento (County, 2022)"
