"institname","instaddress","city","stateabbrev","zip","phonenum","website","institutionalcat","carnegieclass","instsize","sector","instlevel","instcontrol","primpubcontrol","histblack","tribal","ostsectit4","landgrant","religiousaffil","eduofferings","highestoffering","employservcs","speciallrngopps","distanceed","empid","opeid","tenuresys","corerev","coreexp","insructexpfte","pubservexpfte","acadsuppexpfte","studservexpfte","inssuppexpfte","otherexpfte","prctexpsalarieswages","endowfte","equityratio","equityratioforprofit","tuitionprctrev","stateprctrev","localapprctrev","privateprctrev","investprctrev","researchprctexp","instprctexp","pubservprctexp","acadprctexp","studsrvprctexp","instsuppprctexp","avgnetprice","netpriceweb","priceindistoncampus","priceinstateoncampus","priceoutstateoncampus","priceindistoffcampus","priceinstateoffcampus","priceoutstateoffcampus","priceindistoffwithfam","ttlenroll","prctugft","prctug1sttime","prctugtransfer","prctugcontin","prctugnondegree","penrollwh","penrollblk","penrollasian","penrollaian","penrollasnhpi","penrollnhpi","penrollhisp","penrollundoc","penroll2ormorerace","penrollwomen","pugunder18","pug18_24","pug25p","pug1styr_instate","pug1styr_outstate","palldisted","padmitted","padmittedmen","padmittedwomen","ftretention","ptretention","gradrt","gradrtmen","gradrtwomen","gradrtwh","gradrtbk","gradrtasian","gradrtaian","gradrtasnhpi","gradrtnhpi","gradrt2ormore","gradrthisp","gradrtundoc","transferoutrate","assoctot","passocmen","passocwomen","passocwh","passocbk","passocasian","passocaian","passocnhpi","passoc2ormore","passochisp","passocundoc","passocund18","passoc18_24","passoc25_39","passoc40p","awardlt4tot","pawardlt4men","pawardlt4women","pawardlt4wh","pawardlt4bk","pawardlt4asian","pawardlt4aian","pawardlt4nhpi","pawardlt42ormore","pawardlt4hisp","pawardlt4undoc","pawardlt4und18","pawardlt418_24","pawardlt425_39","pawardlt440p","Source","Location"
"Sacramento City College","3835 Freeport Blvd","Sacramento","CA","95822","916-558-2111","http://www.scc.losrios.edu/","Degree-granting, associate's and certificates","Associates Colleges","20,000 and above","Public, 2-year","At least 2 but less than 4 years","Public","Special district","No","No","Title IV postsecondary institution","Not a Land Grant Institution","","Occupational, Academic, Recreational or avocational, Adult basic remedial or high school equivalent","At least 2, but less than 4 academic yrs","Academic/career counseling service, Employment services for students, Placement services for completers","Study abroad, Teacher certification, Remedial services, On-campus day care for students' children","Undergraduate programs or courses only","941576340","123300","Has tenure system","136221349","134564990","4203","9","768","1604","939","1868","64","","27","27","6","42","17","0","0","0","45","0","8","17","10","10107","http://wserver.scc.losrios.edu/netprice","","Not Indicated","","19548","19548","26148","7316","22042","24.9","18.7","11.4","61.2","8.6","27","10","19","0","21","1","32","2","6","58","3","59","38","88","12","11","","","","64","24","25","27","23","32","12","32","33","30","7","25","20","35","9","1182","40.3","59.7","35.7","8.0","19.0","0.6","1.0","6.0","26.6","0.7","0.0","42.6","44.8","12.5","454","40.3","59.7","35.7","8.0","19.0","0.6","1.0","6.0","26.6","0.7","0.0","42.6","44.8","12.5","NCES","Sacramento (County, 2022)"
"American River College","4700 College Oak Dr","Sacramento","CA","95841","916-484-8011","http://www.arc.losrios.edu/","Degree-granting, associate's and certificates","Associates Colleges","20,000 and above","Public, 2-year","At least 2 but less than 4 years","Public","Special district","No","No","Title IV postsecondary institution","Not a Land Grant Institution","","Occupational, Academic, Recreational or avocational, Adult basic remedial or high school equivalent","At least 2, but less than 4 academic yrs","Academic/career counseling service, Employment services for students, Placement services for completers","Study abroad, Remedial services, On-campus day care for students' children","Undergraduate programs or courses only","941576340","123200","Has tenure system","183738189","173437592","4116","6","807","1399","646","1930","61","","27","27","6","41","17","0","0","0","46","0","9","16","7","8829","http://www.losrios.edu/lrc/npcalc.php?c=arc","","Not Indicated","","19548","19548","26148","7316","30519","21.8","12.0","11.9","66.8","9.3","42","8","11","1","12","1","23","0","6","49","1","46","53","96","4","12","","","","72","43","25","23","27","26","9","43","0","41","14","16","21","44","9","1935","38.2","61.8","52.5","7.1","11.2","0.9","0.9","5.3","18.4","0.9","0.0","38.9","46.1","15.0","3531","38.2","61.8","52.5","7.1","11.2","0.9","0.9","5.3","18.4","0.9","0.0","38.9","46.1","15.0","NCES","Sacramento (County, 2022)"
"Cosumnes River College","8401 Center Parkway","Sacramento","CA","95823","916-688-7344","http://www.crc.losrios.edu/","Degree-granting, associate's and certificates","Associates Colleges","10,000 - 19,999","Public, 2-year","At least 2 but less than 4 years","Public","Special district","No","No","Title IV postsecondary institution","Not a Land Grant Institution","","Occupational, Academic, Recreational or avocational, Adult basic remedial or high school equivalent","At least 2, but less than 4 academic yrs","Academic/career counseling service, Employment services for students, Placement services for completers","Study abroad, Remedial services, On-campus day care for students' children","Undergraduate programs or courses only","941576340","753600","Has tenure system","85071400","82908497","3865","25","806","1481","1148","1799","64","","27","27","6","42","17","0","0","0","42","0","9","16","13","10022","http://web.crc.losrios.edu/netpricecalc/npcalc.htm","","Not Indicated","","19548","19548","26148","7316","14010","24.7","18.4","11.7","62.7","7.2","23","12","28","0","30","2","26","1","6","55","2","61","37","97","3","11","","","","70","47","25","23","27","26","7","41","0","41","33","19","17","27","8","545","36.0","64.0","28.6","5.5","32.8","0.4","2.4","5.0","22.8","0.6","0.0","49.2","37.8","13.0","164","36.0","64.0","28.6","5.5","32.8","0.4","2.4","5.0","22.8","0.6","0.0","49.2","37.8","13.0","NCES","Sacramento (County, 2022)"
"Bryan College-Gold River","2339 Gold Meadow Way, Suite 111","Gold River","CA","95670","916-649-2400","http://www.bryancollege.edu","Degree-granting, associate's and certificates","","Under 1,000","Private for-profit, 2-year","At least 2 but less than 4 years","","","No","No","Non-Title IV postsecondary institution","Not a Land Grant Institution","","","Associate's degree","","","","682032129","3399300","","","","","","","","","","","","","","","","","","","","","","","","","","http://bryancollege.edu/admissions-financial-aid/financial-aid","","Not Indicated","","Not Indicated","","","","","Not Indicated","","","","","","","","","","","","","","","","","","","","","","","","Not Indicated","Not Indicated","Not Indicated","Not Indicated","Not Indicated","Not Indicated","Not Indicated","Not Indicated","Not Indicated","Not Indicated","Not Indicated","Not Indicated","Not Indicated","Not Indicated","Not Indicated","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NCES","Sacramento (County, 2022)"
"Los Rios Community College District Office","1919 Spanos Ct","Sacramento","CA","95825","916-568-3041","http://www.losrios.edu/","","","","Administrative Unit","At least 2 but less than 4 years","Public","Special district","No","No","Title IV postsecondary institution","Not a Land Grant Institution","","Occupational, Academic, Recreational or avocational, Adult basic remedial or high school equivalent","At least 2, but less than 4 academic yrs","","","","941576340","123100","No tenure system","54548895","28967555","","","","","","","61","","27","27","0","39","16","0","0","0","0","0","1","10","67","","","","Not Indicated","","Not Indicated","","","","","Not Indicated","","","","","","","","","","","","","","","","","","","","","","","","Not Indicated","Not Indicated","Not Indicated","Not Indicated","Not Indicated","Not Indicated","Not Indicated","Not Indicated","Not Indicated","Not Indicated","Not Indicated","Not Indicated","Not Indicated","Not Indicated","Not Indicated","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NCES","Sacramento (County, 2022)"
"Folsom Lake College","10 College Parkway","Folsom","CA","95630","916-608-6572","http://www.flc.losrios.edu/","Degree-granting, associate's and certificates","","5,000 - 9,999","Public, 2-year","At least 2 but less than 4 years","Public","Special district","No","No","Title IV postsecondary institution","Not a Land Grant Institution","","Occupational, Academic, Recreational or avocational, Adult basic remedial or high school equivalent","Associate's degree","Academic/career counseling service, Employment services for students, Placement services for completers","Study abroad, Remedial services","Undergraduate programs or courses only","941576340","3871300","Has tenure system","50483756","51539967","3914","11","1084","1693","1209","1289","64","","27","27","9","42","18","2","0","0","43","0","12","18","13","10480","http://www.flc.losrios.edu/student-services/net-price-calculator","","Not Indicated","","19548","19548","26148","7316","8499","26.7","18.9","13.4","58.6","9.2","59","4","10","1","11","1","18","0","6","56","3","61","36","96","4","13","","","","69","43","31","29","32","29","56","55","Not Indicated","55","50","30","21","17","9","629","36.7","63.3","68.0","1.6","7.6","0.8","0.5","5.6","13.2","0.2","0.0","62.8","27.7","9.5","255","36.7","63.3","68.0","1.6","7.6","0.8","0.5","5.6","13.2","0.2","0.0","62.8","27.7","9.5","NCES","Sacramento (County, 2022)"
"Universal Technical Institute of Northern California Inc","4100 Duckhorn Drive","Sacramento","CA","95834","800-508-1153","http://www.uti.edu/","Nondegree-granting, sub-baccalaureate","","1,000 - 4,999","Private for-profit, 2-year","At least 2 but less than 4 years","Private for-profit","","No","No","Title IV postsecondary institution","Not a Land Grant Institution","","Occupational","At least 2, but less than 4 academic yrs","Academic/career counseling service, Employment services for students, Placement services for completers","","","201760247","2100505","No tenure system","","","","","","","","","","","","","","","","","","","","","","","","","http://www.uti.edu/student-services/financial-aid/npc","","Not Indicated","","Not Indicated","","","","1380","100.0","24.3","0.0","75.7","0.0","33","2","6","1","7","1","46","0","8","3","","","","76","24","0","","","","78","Not Indicated","62","62","56","63","53","84","50","72","57","56","67","100","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NCES","Sacramento (County, 2022)"
"Paul Mitchell the School-Sacramento","2100 Arden Way Ste 265","Sacramento","CA","95825","916-646-3523","http://paulmitchell.edu/sacramento/","Nondegree-granting, sub-baccalaureate","","Under 1,000","Private for-profit, less-than 2-year","Less than 2 years (below associate)","Private for-profit","","No","No","Title IV postsecondary institution","Not a Land Grant Institution","","Occupational","At least 1, but less than 2 academic yrs","Placement services for completers","Weekend/evening college","","721605921","4152800","No tenure system","","","","","","","","","","","","","","","","","","","","","","","","","http://paulmitchell.edu/sacramento/","","Not Indicated","","Not Indicated","","","","485","70.5","5.8","0.0","94.2","0.0","27","9","6","0","7","1","34","0","5","95","","","","100","0","0","","","","67","64","60","Not Indicated","Not Indicated","Not Indicated","Not Indicated","Not Indicated","Not Indicated","Not Indicated","Not Indicated","Not Indicated","Not Indicated","Not Indicated","Not Indicated","","","","","","","","","","","","","","","","174","","","","","","","","","","","","","","","NCES","Sacramento (County, 2022)"
"Charles A Jones Career and Education Center","5451 Lemon Hill Ave","Sacramento","CA","95824","","http://www.caj.scusd.edu","Nondegree-granting, sub-baccalaureate","","Under 1,000","Public, 2-year","At least 2 but less than 4 years","Public","School district","No","No","Title IV postsecondary institution","Not a Land Grant Institution","","Occupational","At least 2, but less than 4 academic yrs","Academic/career counseling service, Employment services for students, Placement services for completers","","","946002491","950900","No tenure system","3477334","3430295","3072","0","163","1031","1697","571","84","","","","29","14","0","0","0","0","47","0","2","16","26","8330","http://www.scusd.edu/sites/main/files/npcalc.htm","","Not Indicated","","Not Indicated","","","","335","92.2","72.2","0.0","19.4","8.4","31","13","26","0","30","4","25","0","0","70","","","","100","0","0","","","","89","Not Indicated","75","74","75","70","72","81","100","82","85","Not Indicated","74","Not Indicated","Not Indicated","","","","","","","","","","","","","","","","377","","","","","","","","","","","","","","","NCES","Sacramento (County, 2022)"
"Federico Beauty Institute","1515 Sports Drive    Ste 100","Sacramento","CA","95834","916-929-4242","http://federico.edu","Nondegree-granting, sub-baccalaureate","","Under 1,000","Private for-profit, less-than 2-year","Less than 2 years (below associate)","Private for-profit","","No","No","Title IV postsecondary institution","Not a Land Grant Institution","","Occupational","At least 1, but less than 2 academic yrs","Academic/career counseling service, Placement services for completers","Weekend/evening college","","680084285","725300","No tenure system","","","","","","","","","","","","","","","","","","","","","","","","","http://www.federico.edu/disclosures","","Not Indicated","","Not Indicated","","","","270","71.1","28.1","0.0","71.9","0.0","43","9","4","0","5","0","38","0","5","83","","","","97","3","0","","","","88","88","78","Not Indicated","Not Indicated","Not Indicated","Not Indicated","Not Indicated","Not Indicated","Not Indicated","Not Indicated","Not Indicated","Not Indicated","Not Indicated","Not Indicated","","","","","","","","","","","","","","","","191","","","","","","","","","","","","","","","NCES","Sacramento (County, 2022)"
