"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","pdoctorate","TimeFrame","GeoVintage","Source","Location"
"Census Tract","06067000100","CA","06067000100","=""06067000100""","3.30","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067000200","CA","06067000200","=""06067000200""","3.64","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067000300","CA","06067000300","=""06067000300""","2.44","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067000400","CA","06067000400","=""06067000400""","3.24","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067000501","CA","06067000501","=""06067000501""","2.88","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067000502","CA","06067000502","=""06067000502""","3.62","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067000600","CA","06067000600","=""06067000600""","3.83","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067000700","CA","06067000700","=""06067000700""","0.25","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067000800","CA","06067000800","=""06067000800""","1.19","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067001102","CA","06067001102","=""06067001102""","3.69","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067001103","CA","06067001103","=""06067001103""","4.56","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067001201","CA","06067001201","=""06067001201""","1.66","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067001202","CA","06067001202","=""06067001202""","2.14","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067001300","CA","06067001300","=""06067001300""","0.50","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067001400","CA","06067001400","=""06067001400""","0.45","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067001500","CA","06067001500","=""06067001500""","2.84","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067001601","CA","06067001601","=""06067001601""","2.66","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067001602","CA","06067001602","=""06067001602""","3.89","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067001701","CA","06067001701","=""06067001701""","0.00","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067001702","CA","06067001702","=""06067001702""","0.71","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067001800","CA","06067001800","=""06067001800""","4.37","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067001900","CA","06067001900","=""06067001900""","0.91","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067002000","CA","06067002000","=""06067002000""","0.00","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067002100","CA","06067002100","=""06067002100""","1.00","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067002200","CA","06067002200","=""06067002200""","3.05","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067002300","CA","06067002300","=""06067002300""","3.55","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067002400","CA","06067002400","=""06067002400""","4.48","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067002500","CA","06067002500","=""06067002500""","2.49","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067002600","CA","06067002600","=""06067002600""","2.63","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067002700","CA","06067002700","=""06067002700""","1.95","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067002800","CA","06067002800","=""06067002800""","1.12","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067002900","CA","06067002900","=""06067002900""","3.16","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067003001","CA","06067003001","=""06067003001""","0.00","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067003002","CA","06067003002","=""06067003002""","4.96","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067003101","CA","06067003101","=""06067003101""","0.09","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067003102","CA","06067003102","=""06067003102""","0.81","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067003202","CA","06067003202","=""06067003202""","0.00","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067003203","CA","06067003203","=""06067003203""","0.41","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067003204","CA","06067003204","=""06067003204""","0.26","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067003300","CA","06067003300","=""06067003300""","2.96","2018-2022","2022","Census","Sacramento (County, 2022)"
