"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","p_crd_ghlth","TimeFrame","GeoVintage","Source","Location"
"Census Tract","06067000100","CA","06067000100","=""06067000100""","10.2","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067000200","CA","06067000200","=""06067000200""","9.5","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067000300","CA","06067000300","=""06067000300""","8.9","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067000400","CA","06067000400","=""06067000400""","10.6","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067000500","CA","06067000500","=""06067000500""","13.9","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067000600","CA","06067000600","=""06067000600""","20.3","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067000700","CA","06067000700","=""06067000700""","35.5","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067000800","CA","06067000800","=""06067000800""","11.5","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067001101","CA","06067001101","=""06067001101""","16.3","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067001200","CA","06067001200","=""06067001200""","11.5","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067001300","CA","06067001300","=""06067001300""","9.1","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067001400","CA","06067001400","=""06067001400""","12.1","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067001500","CA","06067001500","=""06067001500""","9.2","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067001600","CA","06067001600","=""06067001600""","10.3","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067001700","CA","06067001700","=""06067001700""","15.6","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067001800","CA","06067001800","=""06067001800""","13.9","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067001900","CA","06067001900","=""06067001900""","12.6","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067002000","CA","06067002000","=""06067002000""","15.4","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067002100","CA","06067002100","=""06067002100""","13.8","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067002200","CA","06067002200","=""06067002200""","20.6","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067002300","CA","06067002300","=""06067002300""","9.3","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067002400","CA","06067002400","=""06067002400""","9.4","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067002500","CA","06067002500","=""06067002500""","9.4","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067002600","CA","06067002600","=""06067002600""","10.8","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067002700","CA","06067002700","=""06067002700""","18.3","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
