"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","psmcolass","TimeFrame","GeoVintage","Source","Location"
"Census Tract","06067000100","CA","06067000100","=""06067000100""","24.11","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067000200","CA","06067000200","=""06067000200""","23.48","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067000300","CA","06067000300","=""06067000300""","20.99","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067000400","CA","06067000400","=""06067000400""","20.74","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067000501","CA","06067000501","=""06067000501""","22.74","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067000502","CA","06067000502","=""06067000502""","24.89","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067000600","CA","06067000600","=""06067000600""","35.50","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067000700","CA","06067000700","=""06067000700""","37.10","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067000800","CA","06067000800","=""06067000800""","36.37","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067001102","CA","06067001102","=""06067001102""","22.57","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067001103","CA","06067001103","=""06067001103""","39.33","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067001201","CA","06067001201","=""06067001201""","20.07","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067001202","CA","06067001202","=""06067001202""","29.27","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067001300","CA","06067001300","=""06067001300""","31.30","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067001400","CA","06067001400","=""06067001400""","21.63","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067001500","CA","06067001500","=""06067001500""","26.08","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067001601","CA","06067001601","=""06067001601""","19.43","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067001602","CA","06067001602","=""06067001602""","13.15","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067001701","CA","06067001701","=""06067001701""","23.82","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067001702","CA","06067001702","=""06067001702""","17.15","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067001800","CA","06067001800","=""06067001800""","28.53","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067001900","CA","06067001900","=""06067001900""","31.58","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067002000","CA","06067002000","=""06067002000""","23.99","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067002100","CA","06067002100","=""06067002100""","31.87","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067002200","CA","06067002200","=""06067002200""","27.88","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067002300","CA","06067002300","=""06067002300""","17.82","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067002400","CA","06067002400","=""06067002400""","23.30","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067002500","CA","06067002500","=""06067002500""","17.00","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067002600","CA","06067002600","=""06067002600""","21.84","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067002700","CA","06067002700","=""06067002700""","37.68","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067002800","CA","06067002800","=""06067002800""","23.49","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067002900","CA","06067002900","=""06067002900""","31.45","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067003001","CA","06067003001","=""06067003001""","33.23","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067003002","CA","06067003002","=""06067003002""","38.77","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067003101","CA","06067003101","=""06067003101""","29.77","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067003102","CA","06067003102","=""06067003102""","34.23","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067003202","CA","06067003202","=""06067003202""","32.45","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067003203","CA","06067003203","=""06067003203""","27.67","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067003204","CA","06067003204","=""06067003204""","21.28","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067003300","CA","06067003300","=""06067003300""","29.53","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067003400","CA","06067003400","=""06067003400""","28.94","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067003501","CA","06067003501","=""06067003501""","36.22","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067003502","CA","06067003502","=""06067003502""","33.97","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067003600","CA","06067003600","=""06067003600""","36.19","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067003700","CA","06067003700","=""06067003700""","35.95","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067003800","CA","06067003800","=""06067003800""","30.13","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067003900","CA","06067003900","=""06067003900""","31.43","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067004005","CA","06067004005","=""06067004005""","37.87","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067004006","CA","06067004006","=""06067004006""","34.65","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067004008","CA","06067004008","=""06067004008""","29.05","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067004011","CA","06067004011","=""06067004011""","24.28","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067004012","CA","06067004012","=""06067004012""","23.92","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067004013","CA","06067004013","=""06067004013""","41.08","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067004014","CA","06067004014","=""06067004014""","52.88","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067004015","CA","06067004015","=""06067004015""","30.81","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067004016","CA","06067004016","=""06067004016""","32.42","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067004017","CA","06067004017","=""06067004017""","37.37","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067004018","CA","06067004018","=""06067004018""","21.36","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067004019","CA","06067004019","=""06067004019""","40.29","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067004020","CA","06067004020","=""06067004020""","39.80","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067004100","CA","06067004100","=""06067004100""","29.51","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067004201","CA","06067004201","=""06067004201""","32.04","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067004202","CA","06067004202","=""06067004202""","28.76","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067004203","CA","06067004203","=""06067004203""","30.07","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067004301","CA","06067004301","=""06067004301""","39.01","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067004302","CA","06067004302","=""06067004302""","25.61","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067004401","CA","06067004401","=""06067004401""","30.73","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067004402","CA","06067004402","=""06067004402""","34.03","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067004501","CA","06067004501","=""06067004501""","30.30","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067004502","CA","06067004502","=""06067004502""","28.12","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067004602","CA","06067004602","=""06067004602""","34.62","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067004603","CA","06067004603","=""06067004603""","37.12","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067004604","CA","06067004604","=""06067004604""","26.70","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067004701","CA","06067004701","=""06067004701""","30.12","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067004702","CA","06067004702","=""06067004702""","33.16","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067004801","CA","06067004801","=""06067004801""","25.43","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067004802","CA","06067004802","=""06067004802""","31.79","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067004904","CA","06067004904","=""06067004904""","36.94","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067004906","CA","06067004906","=""06067004906""","40.67","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067004907","CA","06067004907","=""06067004907""","42.30","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067004908","CA","06067004908","=""06067004908""","30.82","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067004909","CA","06067004909","=""06067004909""","29.95","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067004910","CA","06067004910","=""06067004910""","34.13","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067005002","CA","06067005002","=""06067005002""","32.18","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067005003","CA","06067005003","=""06067005003""","32.60","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067005004","CA","06067005004","=""06067005004""","36.59","2018-2022","2022","Census","Sacramento (County, 2022)"
